Timestamp,Temperature (C),Pressure (hPa),Humidity (%),"(Latitude, Longitude, Altitude (m))","Gravity Vector (m/s^2 , xyz)","Acceleration w/o-grav. Vector (m/s^2 , xyz)","Orientation (Euler angles, xyz)"
2024-06-24 23:24:07,25.647167968749997,988.3740783761552,36.35975310358878,"(37.8812923, -122.25646929999999, 186347)","(-0.2, 0.4, 9.790000000000001)","(0.01, -0.02, -0.31)","(359.9375, -1.125, -2.375)"
2024-06-24 23:24:10,25.6458984375,988.3734254996045,36.21445010648553,"(37.8812949, -122.2564697, 185934)","(-0.2, 0.4, 9.790000000000001)","(0.01, -0.02, -0.33)","(359.9375, -1.125, -2.375)"
2024-06-24 23:24:13,25.64208984375,988.3680788974581,36.06877108411584,"(37.8812936, -122.25646959999999, 186114)","(-0.2, 0.4, 9.790000000000001)","(0.02, -0.03, -0.31)","(359.9375, -1.125, -2.375)"
2024-06-24 23:24:16,25.6404296875,988.371264345274,36.01830743277455,"(37.8812922, -122.2564701, 186141)","(-0.2, 0.4, 9.790000000000001)","(0.03, -0.02, -0.32)","(359.9375, -1.125, -2.375)"
2024-06-24 23:24:19,25.64533203125,988.3726474213972,35.979310127920336,"(37.881291999999995, -122.2564699, 186088)","(-0.2, 0.4, 9.790000000000001)","(0.01, -0.02, -0.33)","(359.9375, -1.125, -2.375)"
ERROR:  - TIME SYSTEM ERROR; GPS LIKELY LOST. SWITCHING TO SECONDARY TIME SYSTEM (PI-TIME) UNTIL RESOLVED: 'NoneType' object has no attribute 'year'
ERROR: 'datetime.datetime' object is not subscriptable
ERROR: 'datetime.datetime' object is not subscriptable
ERROR: 'datetime.datetime' object is not subscriptable
"ERROR:  - TIME ERROR RESOLVED, SWITCHING BACK TO PRIMARY (GPS) TIME SYSTEM"
2024-06-24 23:24:50,25.644589843749998,988.3672515133521,36.1776965389277,"(37.8812232, -122.25647029999999, 193580)","(-0.2, 0.4, 9.790000000000001)","(0.02, -0.03, -0.32)","(359.6875, -1.125, -2.375)"
2024-06-24 23:24:53,25.6402734375,988.3626519635162,36.094240422886784,"(37.8812427, -122.2564676, 191475)","(-0.2, 0.4, 9.790000000000001)","(0.01, -0.04, -0.32)","(359.6875, -1.125, -2.375)"
