Timestamp,Temperature (C),Pressure (hPa),Humidity (%),"(Latitude, Longitude, Altitude (m))","Gravity Vector (m/s^2 , xyz)","Acceleration w/o-grav. Vector (m/s^2 , xyz)","Orientation (Euler angles, xyz)"
2024-06-24 23:11:02,25.61349609375,988.4863992287801,36.12275160981596,"(37.8812293, -122.25650809999999, 197972)","(-0.19, 0.39, 9.790000000000001)","(0.0, 0.0, -0.33)","(359.9375, -1.125, -2.25)"
2024-06-24 23:11:05,25.61634765625,988.4897232457051,35.98306744871934,"(37.8812287, -122.2565082, 197930)","(-0.19, 0.39, 9.790000000000001)","(0.02, 0.0, -0.32)","(359.9375, -1.125, -2.25)"
2024-06-24 23:11:08,25.614003906249998,988.49920080686,35.86572298979769,"(37.8812299, -122.2565082, 197482)","(-0.19, 0.39, 9.790000000000001)","(0.02, 0.01, -0.33)","(359.9375, -1.125, -2.25)"
2024-06-24 23:11:11,25.6025390625,988.5047007034987,35.80424540454612,"(37.8812303, -122.25650859999999, 197055)","(-0.19, 0.39, 9.790000000000001)","(0.0, -0.02, -0.3)","(359.9375, -1.125, -2.25)"
2024-06-24 23:11:14,25.613515624999998,988.5027279693187,35.75440006287058,"(37.8812329, -122.2565087, 196308)","(-0.19, 0.39, 9.790000000000001)","(0.0, -0.01, -0.34)","(359.9375, -1.125, -2.25)"
2024-06-24 23:11:17,25.609492187500003,988.5007552066395,35.69345589785863,"(37.881236699999995, -122.256508, 195313)","(-0.19, 0.39, 9.790000000000001)","(0.0, 0.0, -0.33)","(359.9375, -1.125, -2.25)"
2024-06-24 23:11:20,25.610468750000003,988.5021701436273,35.67698095214921,"(37.881236699999995, -122.25650759999999, 195190)","(-0.19, 0.39, 9.790000000000001)","(0.02, -0.01, -0.34)","(359.9375, -1.125, -2.25)"
2024-06-24 23:11:23,25.61154296875,988.4937327343588,35.666083215915734,"(37.881239199999996, -122.2565061, 194666)","(-0.19, 0.39, 9.790000000000001)","(0.0, 0.0, -0.34)","(359.9375, -1.125, -2.25)"
2024-06-24 23:11:26,25.61251953125,988.5053108720275,35.66072249764941,"(37.8812425, -122.2565042, 194092)","(-0.19, 0.39, 9.790000000000001)","(0.01, 0.01, -0.33)","(359.9375, -1.125, -2.25)"
2024-06-24 23:11:29,25.61505859375,988.4964548539801,35.64456316395041,"(37.881244599999995, -122.25650189999999, 193758)","(-0.19, 0.39, 9.790000000000001)","(0.01, -0.02, -0.33)","(359.9375, -1.125, -2.25)"
2024-06-24 23:11:32,25.61662109375,988.4895715768168,35.633765043168154,"(37.881246, -122.2564999, 193623)","(-0.19, 0.39, 9.790000000000001)","(-0.01, 0.0, -0.33)","(359.9375, -1.125, -2.25)"
