Timestamp,Temperature (C),Pressure (hPa),Humidity (%),"(Latitude, Longitude, Altitude (m))","Gravity Vector (m/s^2 , xyz)","Acceleration w/o-grav. Vector (m/s^2 , xyz)","Orientation (Euler angles, xyz)"
2024-06-24 23:09:23,25.7021484375,988.5066583812322,36.25881598588743,"(37.881284099999995, -122.25646959999999, 183369)","(-0.17, 0.4, 9.790000000000001)","(-0.02, -0.02, -0.33)","(0.0, -1.0, -2.3125)"
2024-06-24 23:09:26,25.6721484375,988.5101100054251,36.086476529543276,"(37.881284699999995, -122.25647, 183241)","(-0.17, 0.4, 9.790000000000001)","(-0.01, -0.01, -0.32)","(0.0, -1.0, -2.3125)"
2024-06-24 23:09:29,25.64900390625,988.512679726046,35.9369963257421,"(37.8812851, -122.2564707, 183094)","(-0.17, 0.4, 9.790000000000001)","(-0.01, -0.02, -0.32)","(0.0, -1.0, -2.3125)"
2024-06-24 23:09:32,25.63162109375,988.5166404035148,35.88897203912763,"(37.8812855, -122.25647049999999, 182920)","(-0.17, 0.4, 9.790000000000001)","(-0.01, -0.01, -0.35000000000000003)","(0.0, -1.0, -2.3125)"
2024-06-24 23:09:35,25.61921875,988.5178163886314,35.858658458024244,"(37.881286599999996, -122.25646979999999, 182682)","(-0.17, 0.4, 9.790000000000001)","(0.0, 0.0, -0.31)","(0.0, -1.0, -2.3125)"
2024-06-24 23:09:38,25.616406249999997,988.5183556602049,35.829275240398545,"(37.8812882, -122.2564695, 182183)","(-0.17, 0.4, 9.790000000000001)","(-0.01, 0.0, -0.33)","(0.0, -1.0, -2.3125)"
ERROR:  - TIME SYSTEM ERROR; GPS LIKELY LOST. SWITCHING TO SECONDARY TIME SYSTEM (PI-TIME) UNTIL RESOLVED: 'NoneType' object has no attribute 'year'
ERROR:  - TIME SYSTEM ERROR; GPS LIKELY LOST. SWITCHING TO SECONDARY TIME SYSTEM (PI-TIME) UNTIL RESOLVED: 'NoneType' object has no attribute 'year'
ERROR:  - TIME SYSTEM ERROR; GPS LIKELY LOST. SWITCHING TO SECONDARY TIME SYSTEM (PI-TIME) UNTIL RESOLVED: 'NoneType' object has no attribute 'year'
2024-06-24 23:09:59,25.606191406249998,988.5268387752003,35.90866411270036,"(37.8812631, -122.25651359999999, 187110)","(-0.17, 0.4, 9.790000000000001)","(-0.01, 0.0, -0.33)","(0.0, -1.0, -2.3125)"
